person_id,relative_id,relation_type
5,587,oncle de
8,489,neveu de
11,12,frère de
12,11,frère de
32,37,neveu de
37,32,oncle de
41,530,neveu de
107,108,fils de
108,107,père de
109,108,conjoint(e) de
120,362,fils de
135,766,oncle de
143,536,oncle de
212,214,père de
212,213,père de
213,212,fils de
214,212,fils de
215,212,fille de
216,212,conjoint(e) de
238,239,conjoint(e) de
239,238,conjoint(e) de
259,683,frère de
683,259,frère de
269,270,frère de
270,269,frère de
271,272,père de
272,271,fils de
362,120,père de
364,365,conjoint(e) de
365,364,conjoint(e) de
413,414,frère de
414,413,frère de
489,8,oncle de
497,498,neveu de
498,497,oncle de
512,513,frère de
513,512,frère de
513,514,oncle de
514,513,neveu de
530,41,oncle de
536,143,neveu de
568,569,oncle de
569,568,neveu de
570,568,conjoint(e) de
587,5,neveu de
594,595,oncle de
595,594,neveu de
667,668,père de
668,667,fils de
718,719,oncle de
719,718,neveu de
720,719,mère de
720,718,sœur de
727,728,neveu de
728,727,oncle de
739,740,neveu de
740,739,oncle de
766,135,neveu de
785,786,fils de
786,785,père de
807,808,conjoint(e) de
808,807,conjoint(e) de
851,852,oncle de
852,851,neveu de
